id,filename,yes,homeowner,rep_share,iBlackShare,iLatinoShare,iBAshare,logpop,logincome_revised,iLogTaxPerCap,IDcity,year
113,2009-Alameda-Oakland-F-Impartial.txt,80,0.4227,-0.3931,0.2807,0.2501,0.3573,5.591,4.7426,2.9041,292,2009
115,2010-Alameda-Oakland-V-Impartial.txt,70.5,0.4239,-0.3993,0.2729,0.2535,0.3627,5.5919,4.7553,2.8812,292,2010
116,2010-Alameda-Oakland-W-Impartial.txt,43.9,0.4239,-0.3993,0.2729,0.2535,0.3627,5.5919,4.7553,2.8812,292,2010
117,2010-Alameda-Oakland-X-Impartial.txt,27.7,0.4239,-0.3993,0.2729,0.2535,0.3627,5.5919,4.7553,2.8812,292,2010
121,1997-Alameda-Piedmont-L-Impartial.txt,92.4,0.9057,-0.0684,0.0127,0.0304,0.7585,4.0331,5.0875,2.8317,318,1997
122,2000-Alameda-Piedmont-G-Impartial.txt,70.7,0.9067,-0.146,0.0122,0.0297,0.7785,4.0395,5.1757,2.9169,318,2000
123,2000-Alameda-Piedmont-H-Impartial.txt,74.6,0.9067,-0.146,0.0122,0.0297,0.7785,4.0395,5.1757,2.9169,318,2000
124,2004-Alameda-Piedmont-S-Impartial.txt,61.7,0.8968,-0.2415,0.0124,0.0336,0.7919,4.0337,5.2469,3.0525,318,2004
125,2004-Alameda-Piedmont-T-Impartial.txt,59.8,0.8968,-0.2415,0.0124,0.0336,0.7919,4.0337,5.2469,3.0525,318,2004
126,2004-Alameda-Piedmont-W-Impartial.txt,79.9,0.8968,-0.2415,0.0124,0.0336,0.7919,4.0337,5.2469,3.0525,318,2004
127,2008-Alameda-Piedmont-D-Impartial.txt,73.9,0.884,-0.2515,0.0126,0.0375,0.8053,4.0253,5.3239,3.1148,318,2008
129,1997-Alameda-SanLeandro-J-Impartial.txt,81.9,0.5944,-0.173,0.0838,0.186,0.2136,4.8693,4.7063,2.6784,378,1997
130,1998-Alameda-SanLeandro-H-Impartial.txt,53.2,0.5973,-0.1872,0.0878,0.1909,0.22,4.88,4.7258,2.7036,378,1998
131,1998-Alameda-SanLeandro-I-Impartial.txt,39.6,0.5973,-0.1872,0.0878,0.1909,0.22,4.88,4.7258,2.7036,378,1998
133,2004-Alameda-SanLeandro-DD-Impartial.txt,50.6,0.5921,-0.2539,0.1049,0.2298,0.2473,4.9132,4.8229,2.7756,378,2004
134,2006-Alameda-SanLeandro-I-Impartial.txt,67.4,0.5775,-0.2422,0.1094,0.2444,0.2546,4.9127,4.8636,2.8578,378,2006
136,2008-Alameda-SanLeandro-SS-Impartial.txt,78.8,0.5742,-0.2306,0.1138,0.259,0.2619,4.9194,4.8723,2.8675,378,2008
137,2008-Alameda-SanLeandro-TT-Impartial.txt,55.8,0.5742,-0.2306,0.1138,0.259,0.2619,4.9194,4.8723,2.8675,378,2008
138,2010-Alameda-SanLeandro-Z-Impartial.txt,61.1,0.5805,-0.2547,0.1183,0.2735,0.2692,4.9292,4.8555,2.8078,378,2010
139,1997-Alameda-UnionCity-K-Impartial.txt,80.8,0.6914,-0.1866,0.0696,0.2429,0.268,4.7709,4.7855,2.3757,445,1997
140,1999-Alameda-UnionCity-E-Impartial.txt,67.8,0.7022,-0.214,0.0663,0.2407,0.2858,4.8089,4.8321,2.3291,445,1999
141,2004-Alameda-Union-K-Impartial.txt,68.9,0.7207,-0.2517,0.0629,0.2352,0.3267,4.8318,4.9257,2.4746,445,2004
142,2008-Alameda-UnionCity-K-Impartial.txt,62.1,0.7307,-0.2345,0.0612,0.2308,0.3588,4.8381,4.9836,2.6337,445,2008
143,2008-Alameda-UnionCity-UU-Impartial.txt,73.2,0.7307,-0.2345,0.0612,0.2308,0.3588,4.8381,4.9836,2.6337,445,2008
144,2010-Alameda-UnionCity-AA-Impartial.txt,60.1,0.7272,-0.2576,0.0603,0.2287,0.3748,4.8421,4.964,2.6113,445,2010
179,2002-Amador-Jackson-E-Impartial.txt,50.7,0.5513,0.063,0.0052,0.0741,0.1923,3.6126,4.7016,2.661,198,2002
180,2010-Amador-Plymouth-O-Impartial.txt,44.9,0.5863,0.1253,0.003,0.1821,0.0507,3.0022,4.6357,2.7182,326,2010
185,2006-Butte-Biggs-C2-Impartial.txt,77.6,0.718,0.1235,0.0039,0.3141,0.079,3.236,4.7553,2.1558,41,2006
189,2004-Butte-Oroville-P-Impartial.txt,40.7,0.4416,0.0781,0.0342,0.0996,0.1164,4.1345,4.5713,2.5885,301,2004
199,2004-Butte-Paradise-C-Impartial.txt,62.8,0.7161,0.0712,0.0026,0.0536,0.1987,4.4248,4.676,2.3196,310,2004
200,2004-Butte-Paradise-N-Impartial.txt,75.3,0.7161,0.0712,0.0026,0.0536,0.1987,4.4248,4.676,2.3196,310,2004
202,1996-Butte-Paradise-B-Impartial.txt,34.6,0.7172,0.1107,0.0017,0.0394,0.1766,4.4181,4.5423,2.1705,310,1996
203,1996-Butte-Paradise-P-Impartial.txt,47.4,0.7172,0.1107,0.0017,0.0394,0.1766,4.4181,4.5423,2.1705,310,1996
206,2005-Calaveras-CityofAngels-A-Impartial.txt,13.9,0.6737,0.1213,0.0026,0.1054,0.1614,3.5622,4.7467,2.7314,12,2005
213,2008-Colusa-ColusaCity-A-Impartial.txt,43.2,0.6677,0.1114,0.0058,0.5025,0.1037,3.7565,4.7029,2.6396,87,2008
215,2000-Colusa-Williams-A-Impartial.txt,55.8,0.619,0.0438,0.0035,0.712,0.054,3.5647,4.561,2.5125,469,2000
216,2006-Colusa-Williams-D-Impartial.txt,54.2,0.6128,0.0052,0.0077,0.7405,0.0735,3.6883,4.5785,2.6475,469,2006
